met_names,R2,slope_Lnpval,ciL_slope_Lnpval,ciU_slope_Lnpval,intercept_Lnpval,ciL_intercept_Lnpval,ciU_intercept_Lnpval,pv-b,pvalb_beta,pvMaxSize,pvMaxSize_corrected
M94,0.9995683498472313,-8.511959659431973,-8.636592217667959,-8.387327101195988,-0.875165676394609,-0.9266159327113118,-0.8237154200779061,1.8442008064141656e-18,7.610237812740947e-06,0.00010799456253742794,0.007343630252545101
M96,0.6140986873505199,-0.19103973249566508,-0.297744788033927,-0.08433467695740318,-0.9277472170109046,-0.971796721694396,-0.8836977123274131,0.0012813954265408112,0.9998937402984607,0.2636075168031052,0.6706352662895824
M97,0.8603893366921654,0.36442025682948687,0.2609878699380318,0.46785264372094193,-1.0906542947258144,-1.1333527909481056,-1.0479557985035233,0.999993056147512,0.999478576063433,0.35829359004041617,0.7165871800808323
M98,0.8106738161673126,-0.2751984553919369,-0.3689051267146298,-0.1814917840692439,-0.9577128465531993,-0.9963964162911229,-0.9190292768152758,3.2626293181961634e-05,0.9987933520666904,0.2388668310229442,0.6706352662895824
M99,0.9278180260974348,-0.2936212554612404,-0.35132615866729155,-0.23591635225518925,-1.0109791160491226,-1.0348005965892262,-0.9871576355090191,2.487163465926679e-07,0.0027360807765575905,0.2495128240522821,0.6706352662895824
M100,0.9816577231327808,0.4852845629374421,0.43854492903124714,0.5320241968436371,-1.0334996151877578,-1.0527944622057357,-1.01420476816978,0.999999999742556,0.9991309598670821,0.5429241699784739,0.7938849554699371
M101,0.6576161858312242,0.3902104198550781,0.19182421033871042,0.5885966293714457,-1.1285205870560553,-1.2104174964494234,-1.0466236776626872,0.9993140672797264,0.004889330858216666,0.7086100184470493,0.8604550223999885
M102,0.9957263431282527,-1.49672385040574,-1.5658136220450065,-1.4276340787664736,-0.9752063598621026,-1.0037276909654254,-0.9466850287587798,1.757290748858875e-13,9.362875669686667e-05,0.08621363835485067,0.5973374852876093
M103,0.9991676729092981,-6.983316423492855,-7.125330632888503,-6.841302214097207,-1.1573264219024109,-1.2159520938571273,-1.0987007499476944,4.916900380481947e-17,7.381469854617735e-08,0.0003673562516623484,0.009992090045215877
M104,0.9775046141896342,-0.9054793748436808,-1.002264391414883,-0.8086943582724786,-0.9012725418645336,-0.9412269003458544,-0.8613181833832129,7.155645642853071e-10,0.00010055892467094065,0.14892344396947846,0.6706352662895824
M105,0.9673215171069058,-0.3687174594154441,-0.4164683496910141,-0.3209665691398741,-0.9892011319163848,-1.0089134412744019,-0.9694888225583678,4.649208534584314e-09,0.0028848399175000253,0.23942765933551802,0.6706352662895824
